لماذا يمنع المكثف مرور التيار المستمر بعد تمام شحنه؟,لأن فرق الجهد بين لوحيه يصبح مساوياً لجهد المصدر فيتوقف انتقال الشحنات.
كيف يخزن المكثف الطاقة الكهربائية؟,يخزنها في صورة مجال كهربائي بين لوحيه.
ما تأثير زيادة سعة المكثف على مفاعلته السعوية؟,تقل المفاعلة السعوية ($X_C \propto \frac{1}{C}$).
عند توصيل عدة مكثفات على التوازي، كيف تُحسب السعة الكلية ($C_{total}$)؟,$C_{total} = C_1 + C_2 + C_3 + ...$
عند توصيل عدة مكثفات على التوالي، كيف تُحسب المفاعلة السعوية الكلية ($X_{C\ total}$)؟,$X_{C\ total} = X_{C1} + X_{C2} + X_{C3} + ...$
ما هو تعريف 'المعاوقة' ($Z$) في دوائر التيار المتردد؟,المحصلة الكلية للمقاومة والمفاعلات في الدائرة.
اكتب قانون المعاوقة لدائرة تحتوي على مقاومة وملف حث ومكثف على التوالي ($RLC$).,$Z = \sqrt{R^2 + (X_L - X_C)^2}$
كيف تُحسب زاوية الطور ($\theta$) في دائرة $RLC$؟,$\tan \theta = \frac{X_L - X_C}{R}$
متى تكون للدائرة $RLC$ خصائص حثية؟,عندما تكون $X_L > X_C$ فتكون زاوية الطور موجبة.
متى تكون للدائرة $RLC$ خصائص سعوية؟,عندما تكون $X_C > X_L$ فتكون زاوية الطور سالبة.
ما هي 'حالة الرنين' في دائرة التيار المتردد؟,حالة تتساوى فيها المفاعلة الحثية مع المفاعلة السعوية ($X_L = X_C$).
ما هي قيمة المعاوقة ($Z$) عند حدوث حالة الرنين؟,تكون المعاوقة أقل ما يمكن وتساوي المقاومة الأومية ($Z = R$).
ماذا يحدث لشدة التيار في الدائرة عند الوصول لحالة الرنين؟,تصل شدة التيار إلى قيمتها العظمى ($I_{max} = \frac{V}{R}$).
اكتب قانون تردد الرنين ($f_0$) بدلالة $L$ و $C$.,$f_0 = \frac{1}{2\pi \sqrt{LC}}$
ما هي وظيفة الدائرة المهتزة؟,توليد موجات كهرومغناطيسية عن طريق تبادل الطاقة بين المكثف والملف.
لماذا تضمحل الاهتزازات الكهربائية في الدائرة المهتزة بمرور الوقت؟,بسبب فقد جزء من الطاقة في صورة حرارة في أسلاك الملف والمقاومة الأومية.
كيف تُستخدم دائرة الرنين في أجهزة اللاسلكي؟,في اختيار المحطة المراد سماعها عندما يتفق ترددها مع تردد الدائرة.
في دائرة تيار متردد تحتوي على مقاومة أومية فقط، ما هي زاوية الطور بين $V$ و $I$؟,زاوية الطور تساوي صفراً (متفقان في الطور).
ماذا يحدث للقدرة المستهلكة في دائرة تيار متردد عند إضافة مكثف أو ملف نقي؟,لا تتغير القدرة لأن المكثف والملف لا يستهلكان طاقة.
كيف تُحسب القدرة المستهلكة في دائرة $RLC$؟,$P_w = I_{eff}^2 \cdot R$ (تستهلك في المقاومة فقط).
في دائرة $RLC$، إذا كانت $X_L = X_C$ فإن الجهد الكلي والتيار الكلي يكونان _____.,متفقين في الطور ($\theta = 0$).
ما العلاقة بين الشحنة ($Q$) وسعة المكثف ($C$) وفرق الجهد ($V$ )؟,$Q = C \cdot V$
وحدة قياس سعة المكثف هي الفاراد، فماذا تكافئ؟,تكافئ كولوم / فولت ($C/V$).
عند زيادة التردد جداً في دائرة مكثف، ماذا يحدث لشدة التيار؟,تزداد شدة التيار جداً لأن المفاعلة السعوية تقل جداً.
ما هو دور الأرض في دائرة الاستقبال اللاسلكي؟,تعمل كمصدر حر للإلكترونات لتسهيل عملية الاهتزاز.
في دائرة $RLC$ في حالة رنين، إذا زاد التردد، هل تظل الدائرة في حالة رنين؟,لا، وتصبح لها خصائص حثية لأن $X_L$ ستزيد و $X_C$ ستقل.
ماذا يحدث لزاوية الطور في دائرة $RL$ عند وضع قلب من الحديد المطاوع داخل الملف؟,تزداد زاوية الطور لأن $L$ تزداد وبالتالي تزداد $X_L$.
المفاعلة الحثية تُقاس بوحدة الـ _____.,أوم ($\Omega$).
عند توصيل مكثفين على التوالي سعة كل منهما $10 \mu F$، السعة الكلية تساوي _____.,$5 \mu F$
في دائرة تيار متردد تحتوي على ملف ومقاومة، الجهد الكلي يسبق التيار بزاوية $\theta$ حيث _____.,$0 < \theta < 90^{\circ}$
لماذا يُفضل التيار المتردد على التيار المستمر في نقل الطاقة؟,لإمكانية رفع وخفض جهده باستخدام المحولات وتقليل الفقد في القدرة.
في الدائرة المهتزة، يتم تبادل الطاقة بين المجال _____ في المكثف والمجال _____ في الملف.,المجال الكهربائي والمجال المغناطيسي.
ما هو العنصر الوحيد في دوائر التيار المتردد الذي يسبب فقدان طاقة حرارية؟,المقاومة الأومية ($R$).
ماذا يحدث للمفاعلة السعوية عند الترددات المنخفضة جداً؟,تزداد جداً (تقترب من المالانهاية) وتعمل كدائرة مفتوحة.
العلاقة بين التردد ($f$) والمفاعلة السعوية ($X_C$) هي علاقة _____.,عكسية.
في دائرة $RC$ على التوالي، يكون الجهد الكلي _____ التيار الكلي.,متأخراً عن (بزاوية طور سالبة).
ما هو تأثير زيادة معامل الحث الذاتي ($L$) على تردد الرنين؟,يقل تردد الرنين ($f_0 \propto \frac{1}{\sqrt{L}}$).
كيف يمكن تغيير تردد الرنين في دائرة الاستقبال؟,عن طريق تغيير سعة المكثف (مكثف متغير السعة) أو معامل حث الملف.
هل تعتمد المفاعلة الحثية على نوع مادة السلك المصنوع منه الملف؟,لا، تعتمد فقط على التردد ومعامل الحث الذاتي ($L$).
وحدة قياس التردد هي الـ _____ وتكافئ $s^{-1}$.,هيرتز ($Hz$).
في حالة الرنين، تكون زاوية الطور بين الجهد الكلي والتيار الكلي تساوي _____.,صفراً.
في دائرة المكثف، الشحنة ($Q$) والجهد ($V$) يكونان دائماً _____.,متفقين في الطور.
عند توصيل ملفين على التوالي، المفاعلة الحثية الكلية تساوي _____.,مجموع المفاعلتين ($X_{L1} + X_{L2}$).
ماذا يحدث لمعاوقة الدائرة $RLC$ عند لحظة الرنين؟,تصل لأقل قيمة لها ($Z = R$).
إذا كانت زاوية الطور سالبة في دائرة $RLC$، فهذا يعني أن الدائرة لها خصائص _____.,سعوية ($X_C > X_L$).
ما هي الميزة الأساسية لاستخدام سبيكة البلاتين والإيريديوم في الأميتر الحراري؟,صلابتها ومقاومتها للتآكل مع حساسيتها العالية للتغير في الحرارة.
في دائرة $RLC$، ماذا تسمى الحالة التي تكون فيها $Z$ في قيمتها الدنيا؟,حالة الرنين.
